gene	logFC	logCPM	PValue	FDR
Mdm2	1.26634226528433	7.0179353100005	4.32567211683117e-12	3.65477965794684e-10
Inpp4a	-1.06237527510558	6.55801454160075	4.69371117267357e-12	3.94063789275411e-10
Cgn	2.06173935315978	3.3907568540005	4.8043640596434e-12	4.0081691352937e-10
Pld6	-3.16883628339765	1.20284860783321	4.86661908091519e-12	4.03473138177125e-10
Ptpn7	3.036332833643	1.0613299486344	5.0630814703672e-12	4.17153886362863e-10
Tagln	1.33510706468497	7.76777313861576	5.22768623401575e-12	4.28057147495179e-10
Kcng2	-2.14999858881059	3.67285167544138	5.44041956881785e-12	4.42743347118827e-10
BB014433	-2.0310358948381	4.03376257663982	5.74625914623133e-12	4.64781265699748e-10
Stat1	1.52840326125497	7.49892949340562	7.42865120443119e-12	5.97218534707756e-10
Ntng2	-1.62696226247974	6.96351748187891	8.3281089197148e-12	6.65496173614559e-10
Ano3	3.15926986775457	0.854049640785082	9.00261713511158e-12	7.1508812154045e-10
Slc22a7	-5.08138868511594	0.724378000383441	9.72912277844157e-12	7.68195319381116e-10
H2-Q4	1.68489388077133	7.97826433280837	9.81806050592054e-12	7.70630607165894e-10
Sprr1a	4.35332315589825	0.996716843461458	1.06141872841328e-11	8.28218790141301e-10
Arhgap24	-1.44211894433063	8.96526215964518	1.1502156302452e-11	8.92257914339331e-10
Per3	-1.30582052793972	6.74174907359524	1.23360239405494e-11	9.51379985880159e-10
Serpina3n	4.21206828350287	1.76019503449328	1.27535430831158e-11	9.77894502875899e-10
Cpt1c	1.48918312342863	4.3687494084768	1.2869874814163e-11	9.8114304258547e-10
Fam107a	1.84004035707938	5.54938302112914	1.35940436775552e-11	1.03042851075869e-09
Tpm1	1.17808131496571	8.94701531820825	1.39794329345652e-11	1.05362032884663e-09
Cxcl11	4.53407919590177	-0.518566194589938	1.46868166251459e-11	1.1006814832348e-09
Enc1	1.17945538462661	6.29161007189714	1.51978787688483e-11	1.13258349364479e-09
Ulbp1	2.46774293180682	1.8072576825283	1.6036332625824e-11	1.18839079486903e-09
Btbd19	1.7838375612358	3.51492375846891	1.68678577156084e-11	1.24306740331969e-09
Cers6	-1.29696482868363	7.53043641277999	1.7471857767255e-11	1.28046515625766e-09
Gask1b	2.09956682503647	3.33443992174423	1.89081266267103e-11	1.37811153683139e-09
Mybl1	1.80750325939637	3.67204727638524	2.18664183914247e-11	1.58501661181557e-09
Cxcr4	-1.6021333354002	3.92141600479226	2.33296209025273e-11	1.68188815908709e-09
Extl1	-1.63892176828887	5.39734574418011	2.46786909265994e-11	1.76952883860185e-09
Adam15	1.10841064948873	7.40387286322593	2.7646076887842e-11	1.97164091353346e-09
Alas2	-3.47997557443584	1.75100779177461	3.08941569917311e-11	2.19150263366477e-09
Irgm1	1.26126981303455	6.05645050613253	3.1570519234394e-11	2.2165347392769e-09
Ankrd44	-1.05246924893854	7.54855192636008	3.15812337522302e-11	2.2165347392769e-09
Irf7	1.49637480598451	5.79205880833531	3.32177147712147e-11	2.31097181944688e-09
Mybph	5.28519459432112	-0.252290139824489	3.32752067481609e-11	2.31097181944688e-09
Cebpd	1.34613993095441	4.85859885837069	3.41217005156864e-11	2.35741852781552e-09
Syt12	2.89505964411605	2.51178505053976	4.25904307384211e-11	2.92726457899045e-09
Litaf	1.17393571557007	6.63182493615815	4.47924533586029e-11	3.06274172062818e-09
Enpep	-1.25324833524031	10.2147454995548	4.65098433049595e-11	3.16386190482199e-09
