gene	baseMean	log2FC_interaction	lfcSE	stat	pvalue	padj
Gm20753	16.1333570173669	-0.767527881604898	1.08096107655639	-0.710042108130303	0.47767802445256	NA
Lrrc32	6964.6070793609	0.23646812033015	0.333064788567821	0.709976342281522	0.477718806941044	0.870482252247117
Tpd52l2	5880.5146163743	0.110969726460814	0.156303323308179	0.709963960536005	0.477726485278845	0.870482252247117
Arrb2	1369.48304606624	-0.158383666657638	0.223120285876407	-0.709857761411133	0.477792345708472	0.870482252247117
4930455G09Rik	40.4086117528915	-0.432486892384341	0.609350487868673	-0.709750629554842	0.477858789611404	0.870482252247117
Invs	1502.61481318626	-0.174856375062841	0.246377722360375	-0.709708545836299	0.477884891600877	0.870482252247117
Adamts13	7.71141972060748	-1.31321307293108	1.85042029542412	-0.709683673584055	0.477900318723624	NA
Zswim7	147.394210632309	0.274903459036889	0.387439259047554	0.709539502302083	0.4779897469528	0.870559510387451
1700048M11Rik	29.1549711082906	-0.622947638656767	0.878259110355261	-0.709298237059882	0.478139422210442	NA
Mir7662	7.01512551807787	1.24185401374961	1.7511857700045	0.709150356872999	0.478231176248088	NA
Adal	763.888068497576	-0.158676751365169	0.223787400132635	-0.709051319560993	0.478292630517773	0.870910260903754
Muc2	59.0879674660182	-0.57286604765335	0.807959994278435	-0.709027738638173	0.478307263501653	0.870910260903754
Snora69	4.4139801147976	1.54824397171671	2.18463792663715	0.708695913789223	0.478513201133936	NA
Platr5	1.72457671852147	3.1511851474639	4.44694110680938	0.708618592370978	0.478561195426204	NA
Gdi1	12586.0702838841	-0.104526116009959	0.147543241876502	-0.708443942810005	0.478669612092537	0.871456219873877
Gm3776	1.83553385008926	2.05833814549343	2.90556585398341	0.70841214721447	0.478689351189273	NA
Gm40627	1.42700867472482	3.27363255204518	4.62147644329088	0.708352101804522	0.478726629330864	NA
Gm17746	11.7216830236162	0.831496916553448	1.17389658577807	0.708322118512957	0.478745244526096	NA
Gm3558	2.50159432300638	-2.10126791740841	2.96745967809759	-0.70810327530904	0.478881125803453	NA
Sppl3	4307.4861109545	-0.106882164656574	0.150954693479616	-0.708041347989002	0.478919580732752	0.871797466324067
Zfp82	298.788343228591	-0.215547027442968	0.304502357418243	-0.707866531052527	0.479028145682123	0.871881254190621
Sik3	4870.62610780303	-0.187374654929941	0.264769044856046	-0.707690942616859	0.479137203273013	0.871881368618872
Gm26698	8.55651806678985	1.24739968815239	1.76292064903527	0.707575629586628	0.47920883131504	NA
A1bg	1.45314893232919	-2.87410191504785	4.06190880137271	-0.707574210941553	0.479209712559472	NA
Gm11110	14.027149850087	-0.814960885549246	1.15177161882675	-0.707571598594697	0.479211335318712	NA
Creb3l1	496.397007833647	0.305296913432523	0.431500451922225	0.707523971463999	0.479240921259786	0.871881368618872
Hnf1a	267.241687449334	-0.726442755229101	1.02700660618379	-0.707339904977299	0.479355272607486	0.871881368618872
Ryk	7729.43991894638	-0.119370770434045	0.168767797329301	-0.707307746637988	0.479375252511212	0.871881368618872
Tlr7	883.915116596063	-0.218769936085678	0.309300133671192	-0.707306309535079	0.479376145390618	0.871881368618872
Lhfpl5	1.80865890175304	-2.50283893000065	3.53880038085406	-0.707256318706682	0.479407205513538	NA
Cfap410	623.646173967242	-0.17148300937337	0.242480729699221	-0.707202628374146	0.479440565422256	0.871881368618872
