rank_position	gene	stat
812	Tent5b	2.45607435001329
813	Serf2	2.4551268552944
814	1110059G10Rik	2.4549187310329
815	Banf1	2.45439098431287
816	Dusp10	2.45369899018402
817	Tcaim	2.45222234270712
818	Prkar1a	2.45198750239844
819	Tgfbi	2.45079306583013
820	Lhfp	2.4494544552528
821	Eno1b	2.44935579963482
822	Cfl2	2.44932535804569
823	Plaat3	2.44811768212832
824	Psmd4	2.44701867626987
825	S100a13	2.44397746860947
826	Capn5	2.44334063281675
827	Retn	2.44087280677166
828	Csf1	2.43940261135325
829	Pxn	2.43931807228516
830	Sema7a	2.43885695062447
831	Clic4	2.43700305248472
832	Fcgr4	2.43644389894702
833	Vps37c	2.4353467287451
834	Dhh	2.43364644306577
835	Fam107b	2.43303071205461
836	Psmb4	2.43302711428784
837	Ddx3y	2.43275502407091
838	Themis	2.43200312028196
839	Tubb4b	2.43140070718166
840	Tc2n	2.43061447352833
841	Cd74	2.42764750387826
842	Rhod	2.42676239367537
843	Elovl1	2.42510128759324
844	Rbbp4	2.42360687347861
845	Ugcg	2.42354248487544
846	Esyt2	2.42346200111261
847	Praf2	2.4232368210362
848	Slc39a10	2.42169556144268
849	Mpv17l2	2.4206868470772
850	Psmd13	2.42047295303795
851	Ppp1r2	2.42029736335582
852	Kcmf1	2.41966958909028
853	Tlr13	2.41880104784606
854	Mnd1	2.41793195926176
855	Plec	2.41760864678571
856	Rtn4rl2	2.41557653292063
857	Rpl7l1	2.41461885703352
858	Cd52	2.41156770096214
859	Aig1	2.41006636672128
860	Txn1	2.40802703993858
861	Cd300ld	2.40513044230428
862	Ltbp1	2.40506262594474
863	Pbk	2.4043464363962
864	Mydgf	2.40428874236119
865	Tmem184b	2.4041599078439
866	Smad3	2.40299633751366
867	Myl2	2.40283850075226
868	Cpm	2.40227847601358
869	Rhoa	2.40149561221521
870	Lgals3bp	2.40142392530973
871	Spsb2	2.39984390217405
872	Sdc4	2.39887855708388
